ReasonForAbsence,MonthOfAbsence,DayOfTheWeek,TransportationExpense,DistanceFromResidenceToWork,ServiceTime,Age,WorkLoadAverage,HitTarget,DisciplinaryFailure,Education,SocialDrinker,SocialSmoker,AbsenteeismTimeInHours
23,12,3,248,25,14,47,261306,97,0,1,0,0,1
19,12,3,118,10,10,37,261306,97,0,1,0,0,64
23,12,4,118,13,18,50,261306,97,0,1,1,0,2
26,12,4,235,11,14,37,261306,97,0,3,0,0,8
23,12,5,225,26,9,28,261306,97,0,1,0,0,2
26,12,6,260,50,11,36,261306,97,0,1,1,0,8
28,12,6,260,50,11,36,261306,97,0,1,1,0,3
23,12,3,225,26,9,28,261306,97,0,1,0,0,2
19,12,6,246,25,16,41,261306,97,0,1,1,0,8
27,1,4,225,26,9,28,308593,95,0,1,0,0,2
28,1,5,225,26,9,28,308593,95,0,1,0,0,2
27,1,6,225,26,9,28,308593,95,0,1,0,0,1
27,1,2,118,10,10,37,308593,95,0,1,0,0,2
27,1,3,225,26,9,28,308593,95,0,1,0,0,2
27,1,6,118,10,10,37,308593,95,0,1,0,0,2
18,1,3,289,36,13,33,308593,95,0,1,1,0,8
27,1,2,118,10,10,37,308593,95,0,1,0,0,0
23,1,3,225,26,9,28,308593,95,0,1,0,0,1
22,1,5,289,36,13,33,308593,95,0,1,1,0,3
1,2,4,246,25,16,41,302585,99,0,1,1,0,8
11,2,4,179,51,18,38,302585,99,0,1,1,0,8
28,2,5,155,12,14,34,302585,99,0,1,1,0,2
23,2,5,189,29,13,33,302585,99,0,1,0,0,8
28,2,6,260,50,11,36,302585,99,0,1,1,0,2
22,2,6,289,36,13,33,302585,99,0,1,1,0,8
11,2,2,388,15,9,50,302585,99,0,1,0,0,8
1,2,3,388,15,9,50,302585,99,0,1,0,0,8
28,2,2,225,26,9,28,302585,99,0,1,0,0,2
23,2,3,225,26,9,28,302585,99,0,1,0,0,2
23,2,3,179,26,9,30,302585,99,0,3,0,0,1
23,2,3,184,42,7,27,302585,99,0,1,0,0,8
25,2,5,225,26,9,28,302585,99,0,1,0,0,3
18,2,2,330,16,4,28,302585,99,0,2,0,0,8
23,2,3,330,16,4,28,302585,99,0,2,0,0,1
23,2,4,225,26,9,28,302585,99,0,1,0,0,1
19,2,5,189,29,13,33,302585,99,0,1,0,0,8
28,3,3,291,50,12,32,343253,95,0,1,1,0,2
19,3,3,260,50,11,36,343253,95,0,1,1,0,8
19,3,3,157,27,6,29,343253,95,0,1,1,1,3
17,3,3,179,22,17,40,343253,95,0,2,0,1,8
22,3,4,291,31,12,40,343253,95,0,1,1,0,8
13,3,4,260,50,11,36,343253,95,0,1,1,0,8
13,3,5,179,26,9,30,343253,95,0,3,0,0,8
14,3,6,248,25,14,47,343253,95,0,1,0,0,3
13,3,6,260,50,11,36,343253,95,0,1,1,0,40
11,3,2,179,22,17,40,343253,95,0,2,0,1,40
1,3,2,155,12,14,34,343253,95,0,1,1,0,16
26,3,2,260,50,11,36,343253,95,0,1,1,0,16
13,3,3,155,12,14,34,343253,95,0,1,1,0,8
6,3,5,289,36,13,33,343253,95,0,1,1,0,8
8,3,5,179,22,17,40,343253,95,0,2,0,1,8
28,3,6,260,50,11,36,343253,95,0,1,1,0,4
23,3,6,225,26,9,28,343253,95,0,1,0,0,1
14,3,2,279,5,14,39,343253,95,0,1,1,1,8
13,3,3,179,51,18,38,343253,95,0,1,1,0,24
23,3,4,225,26,9,28,343253,95,0,1,0,0,2
11,3,2,225,26,9,28,343253,95,0,1,0,0,8
13,3,2,179,26,9,30,343253,95,0,3,0,0,1
11,3,3,225,26,9,28,343253,95,0,1,0,0,8
11,3,4,225,26,9,28,343253,95,0,1,0,0,16
13,3,4,179,51,18,38,343253,95,0,1,1,0,3
14,3,5,279,5,14,39,343253,95,0,1,1,1,16
28,3,6,225,26,9,28,343253,95,0,1,0,0,2
14,3,6,248,25,14,47,343253,95,0,1,0,0,3
28,3,2,225,26,9,28,343253,95,0,1,0,0,1
28,4,4,291,31,12,40,326452,96,0,1,1,0,1
23,4,4,225,26,9,28,326452,96,0,1,0,0,1
28,4,3,155,12,14,34,326452,96,0,1,1,0,1
13,4,4,246,25,16,41,326452,96,0,1,1,0,24
23,4,5,155,12,14,34,326452,96,0,1,1,0,1
28,4,6,225,26,9,28,326452,96,0,1,0,0,2
28,4,6,260,50,11,36,326452,96,0,1,1,0,4
13,4,4,179,51,18,38,326452,96,0,1,1,0,24
23,4,5,118,13,18,50,326452,96,0,1,1,0,1
23,4,6,291,31,12,40,326452,96,0,1,1,0,3
14,4,6,246,25,16,41,326452,96,0,1,1,0,8
28,4,6,291,31,12,40,326452,96,0,1,1,0,1
28,4,6,248,25,14,47,326452,96,0,1,0,0,8
19,4,6,260,50,11,36,326452,96,0,1,1,0,56
19,4,3,289,36,13,33,326452,96,0,1,1,0,8
12,4,4,155,12,14,34,326452,96,0,1,1,0,24
19,4,4,378,49,11,36,326452,96,0,1,0,1,8
13,4,5,289,36,13,33,326452,96,0,1,1,0,16
7,4,6,235,11,14,37,326452,96,0,3,0,0,3
0,4,2,235,29,12,48,326452,96,1,1,0,1,0
13,5,4,289,36,13,33,378884,92,0,1,1,0,8
28,5,5,155,12,14,34,378884,92,0,1,1,0,2
28,5,2,155,12,14,34,378884,92,0,1,1,0,1
18,5,3,179,51,18,38,378884,92,0,1,1,0,8
19,5,3,225,26,9,28,378884,92,0,1,0,0,8
7,5,4,184,42,7,27,378884,92,0,1,0,0,4
28,5,2,155,12,14,34,378884,92,0,1,1,0,2
12,5,3,179,51,18,38,378884,92,0,1,1,0,1
13,5,4,289,36,13,33,378884,92,0,1,1,0,24
0,5,4,279,5,14,39,378884,92,1,1,1,1,0
0,5,4,330,16,4,28,378884,92,1,2,0,0,0
0,5,4,388,15,9,50,378884,92,1,1,0,0,0
11,5,3,179,51,18,38,378884,92,0,1,1,0,1
13,5,4,118,13,18,50,378884,92,0,1,1,0,24
22,6,2,361,52,3,28,377550,94,0,1,1,0,8
10,6,3,246,25,16,41,377550,94,0,1,1,0,24
23,6,5,291,31,12,40,377550,94,0,1,1,0,4
11,6,2,179,51,18,38,377550,94,0,1,1,0,8
23,6,2,155,12,14,34,377550,94,0,1,1,0,4
10,6,2,246,25,16,41,377550,94,0,1,1,0,8
13,6,4,118,13,18,50,377550,94,0,1,1,0,8
13,6,6,235,11,14,37,377550,94,0,3,0,0,16
23,6,3,118,13,18,50,377550,94,0,1,1,0,1
13,6,4,118,13,18,50,377550,94,0,1,1,0,80
22,6,5,378,49,11,36,377550,94,0,1,0,1,8
11,6,6,179,51,18,38,377550,94,0,1,1,0,2
28,6,2,289,48,29,49,377550,94,0,1,0,0,2
28,6,5,225,26,9,28,377550,94,0,1,0,0,2
19,7,3,155,12,14,34,275312,98,0,1,1,0,16
1,7,4,118,13,18,50,275312,98,0,1,1,0,8
5,7,6,118,10,10,37,275312,98,0,1,0,0,8
26,7,6,118,10,10,37,275312,98,0,1,0,0,4
26,7,3,330,16,4,28,275312,98,0,2,0,0,8
18,7,5,179,26,9,30,275312,98,0,3,0,0,8
25,7,6,155,12,14,34,275312,98,0,1,1,0,2
1,7,2,330,16,4,28,275312,98,0,2,0,0,8
1,7,3,330,16,4,28,275312,98,0,2,0,0,8
25,7,2,157,27,6,29,275312,98,0,1,1,1,3
22,7,3,361,52,3,28,275312,98,0,1,1,0,8
26,7,4,289,36,13,33,275312,98,0,1,1,0,8
26,7,5,179,51,18,38,275312,98,0,1,1,0,8
19,7,2,289,36,13,33,275312,98,0,1,1,0,32
19,7,5,289,36,13,33,275312,98,0,1,1,0,8
0,7,5,260,50,11,36,275312,98,1,1,1,0,0
19,8,6,289,36,13,33,265615,94,0,1,1,0,8
19,8,6,157,27,6,29,265615,94,0,1,1,1,3
23,8,2,289,36,13,33,265615,94,0,1,1,0,1
18,8,3,228,14,16,58,265615,94,0,1,0,0,8
13,8,5,300,26,13,43,265615,94,0,1,1,1,1
14,8,5,300,26,13,43,265615,94,0,1,1,1,2
28,8,6,260,50,11,36,265615,94,0,1,1,0,4
23,8,3,289,36,13,33,265615,94,0,1,1,0,4
23,8,4,248,25,14,47,265615,94,0,1,0,0,1
11,8,5,268,11,8,33,265615,94,0,2,0,0,8
23,8,5,179,26,9,30,265615,94,0,3,0,0,1
13,8,5,118,13,18,50,265615,94,0,1,1,0,3
25,8,2,248,25,14,47,265615,94,0,1,0,0,2
23,8,3,235,11,14,37,265615,94,0,3,0,0,1
23,8,5,118,13,18,50,265615,94,0,1,1,0,1
11,9,2,179,51,18,38,294217,81,0,1,1,0,8
23,9,6,179,51,18,38,294217,81,0,1,1,0,3
0,9,3,231,35,14,39,294217,81,1,1,1,0,0
0,9,3,291,50,12,32,294217,81,1,1,1,0,0
13,9,4,179,51,18,38,294217,81,0,1,1,0,8
9,9,4,246,25,16,41,294217,81,0,1,1,0,32
23,9,5,179,51,18,38,294217,81,0,1,1,0,1
28,9,6,291,31,12,40,294217,81,0,1,1,0,4
28,9,6,260,50,11,36,294217,81,0,1,1,0,4
26,9,4,235,20,13,43,294217,81,0,1,1,0,8
28,9,5,118,13,18,50,294217,81,0,1,1,0,1
0,9,5,235,20,13,43,294217,81,1,1,1,0,0
28,9,6,291,31,12,40,294217,81,0,1,1,0,3
7,9,2,291,31,12,40,294217,81,0,1,1,0,40
13,9,2,179,51,18,38,294217,81,0,1,1,0,8
24,10,2,289,36,13,33,265017,88,0,1,1,0,8
26,10,2,235,11,14,37,265017,88,0,3,0,0,4
26,10,2,289,36,13,33,265017,88,0,1,1,0,8
22,10,6,289,36,13,33,265017,88,0,1,1,0,8
0,10,6,118,13,18,50,265017,88,1,1,1,0,0
0,10,6,248,25,14,47,265017,88,1,1,0,0,0
1,10,2,179,26,9,30,265017,88,0,3,0,0,8
7,10,2,118,10,10,37,265017,88,0,1,0,0,3
22,10,2,369,17,12,31,265017,88,0,1,1,0,8
28,10,4,179,51,18,38,265017,88,0,1,1,0,1
1,10,4,179,26,9,30,265017,88,0,3,0,0,64
0,10,4,235,20,13,43,265017,88,1,1,1,0,0
19,10,5,289,36,13,33,265017,88,0,1,1,0,16
0,10,6,235,20,13,43,265017,88,1,1,1,0,0
23,10,2,235,20,13,43,265017,88,0,1,1,0,2
23,10,2,235,20,13,43,265017,88,0,1,1,0,2
28,10,3,118,13,18,50,265017,88,0,1,1,0,1
28,10,3,291,31,12,40,265017,88,0,1,1,0,4
23,10,5,179,26,9,30,265017,88,0,3,0,0,16
28,10,5,118,13,18,50,265017,88,0,1,1,0,1
10,10,2,361,52,3,28,265017,88,0,1,1,0,8
0,10,3,260,50,11,36,265017,88,1,1,1,0,0
0,10,3,291,31,12,40,265017,88,1,1,1,0,0
1,10,4,179,26,9,30,265017,88,0,3,0,0,5
7,10,4,179,26,9,30,265017,88,0,3,0,0,5
23,10,5,118,13,18,50,265017,88,0,1,1,0,1
11,11,2,118,10,10,37,284031,97,0,1,0,0,8
23,11,2,248,25,14,47,284031,97,0,1,0,0,2
6,11,3,179,51,18,38,284031,97,0,1,1,0,8
28,11,6,260,50,11,36,284031,97,0,1,1,0,3
23,11,2,291,31,12,40,284031,97,0,1,1,0,1
1,11,2,378,49,11,36,284031,97,0,1,0,1,8
26,11,2,235,20,13,43,284031,97,0,1,1,0,8
0,11,3,330,16,4,28,284031,97,1,2,0,0,0
18,11,4,235,11,14,37,284031,97,0,3,0,0,1
11,11,4,118,10,10,37,284031,97,0,1,0,0,3
25,11,5,235,11,14,37,284031,97,0,3,0,0,2
28,11,5,179,51,18,38,284031,97,0,1,1,0,3
13,11,6,246,25,16,41,284031,97,0,1,1,0,8
12,11,6,291,31,12,40,284031,97,0,1,1,0,4
13,11,2,246,25,16,41,284031,97,0,1,1,0,8
28,11,3,179,51,18,38,284031,97,0,1,1,0,1
10,11,4,260,50,11,36,284031,97,0,1,1,0,8
15,11,6,260,50,11,36,284031,97,0,1,1,0,8
0,11,6,378,49,11,36,284031,97,1,1,0,1,0
0,11,3,279,5,14,39,284031,97,1,1,1,1,120
23,11,5,179,51,18,38,284031,97,0,1,1,0,1
12,12,2,225,26,9,28,236629,93,0,1,0,0,3
28,12,2,179,51,18,38,236629,93,0,1,1,0,2
28,12,2,179,51,18,38,236629,93,0,1,1,0,1
23,12,2,235,11,14,37,236629,93,0,3,0,0,3
28,12,3,118,13,18,50,236629,93,0,1,1,0,1
28,12,6,260,50,11,36,236629,93,0,1,1,0,4
4,12,5,246,25,16,41,236629,93,0,1,1,0,8
28,12,5,179,51,18,38,236629,93,0,1,1,0,1
28,12,6,179,51,18,38,236629,93,0,1,1,0,1
23,12,3,179,26,9,30,236629,93,0,3,0,0,1
25,12,3,118,10,10,37,236629,93,0,1,0,0,8
28,12,6,179,51,18,38,236629,93,0,1,1,0,1
13,12,3,235,20,13,43,236629,93,0,1,1,0,8
14,12,3,235,11,14,37,236629,93,0,3,0,0,4
26,12,4,260,50,11,36,236629,93,0,1,1,0,8
28,12,2,157,27,6,29,236629,93,0,1,1,1,2
28,12,2,179,51,18,38,236629,93,0,1,1,0,3
19,12,2,289,36,13,33,236629,93,0,1,1,0,8
23,1,4,225,26,9,28,330061,100,0,1,0,0,5
19,1,2,118,10,10,37,330061,100,0,1,0,0,32
23,1,2,155,12,14,34,330061,100,0,1,1,0,2
13,1,3,235,11,14,37,330061,100,0,3,0,0,1
23,1,3,155,12,14,34,330061,100,0,1,1,0,4
26,1,2,289,36,13,33,330061,100,0,1,1,0,8
3,1,4,291,31,12,40,330061,100,0,1,1,0,8
26,1,2,235,20,13,43,330061,100,0,1,1,0,8
26,1,2,118,13,18,50,330061,100,0,1,1,0,4
28,1,6,179,51,18,38,330061,100,0,1,1,0,1
28,2,3,118,10,10,37,251818,96,0,1,0,0,2
27,2,4,179,51,18,38,251818,96,0,1,1,0,3
7,2,4,225,26,9,28,251818,96,0,1,0,0,1
22,2,6,289,36,13,33,251818,96,0,1,1,0,3
23,2,6,179,51,18,38,251818,96,0,1,1,0,3
27,2,2,179,51,18,38,251818,96,0,1,1,0,2
27,2,4,179,51,18,38,251818,96,0,1,1,0,3
10,2,5,179,51,18,38,251818,96,0,1,1,0,8
26,2,5,246,25,16,41,251818,96,0,1,1,0,8
27,2,6,179,51,18,38,251818,96,0,1,1,0,3
27,2,2,179,51,18,38,251818,96,0,1,1,0,3
23,2,3,246,25,16,41,251818,96,0,1,1,0,2
23,2,3,291,31,12,40,251818,96,0,1,1,0,2
11,2,4,157,27,6,29,251818,96,0,1,1,1,16
27,2,4,179,51,18,38,251818,96,0,1,1,0,3
27,2,6,179,51,18,38,251818,96,0,1,1,0,3
10,2,6,246,25,16,41,251818,96,0,1,1,0,24
27,2,4,179,51,18,38,251818,96,0,1,1,0,3
27,2,6,179,51,18,38,251818,96,0,1,1,0,3
18,3,3,118,10,10,37,244387,98,0,1,0,0,8
19,3,4,246,25,16,41,244387,98,0,1,1,0,16
28,3,6,246,25,16,41,244387,98,0,1,1,0,2
28,3,6,260,50,11,36,244387,98,0,1,1,0,4
28,3,2,179,51,18,38,244387,98,0,1,1,0,2
22,3,2,235,11,14,37,244387,98,0,3,0,0,8
22,3,3,179,22,17,40,244387,98,0,2,0,1,8
28,3,2,179,51,18,38,244387,98,0,1,1,0,16
0,3,4,369,17,12,31,244387,98,1,1,1,0,0
21,3,5,235,11,14,37,244387,98,0,3,0,0,8
23,3,6,118,13,18,50,244387,98,0,1,1,0,2
14,3,3,118,13,18,50,244387,98,0,1,1,0,3
13,3,4,118,13,18,50,244387,98,0,1,1,0,8
0,3,5,246,25,16,41,244387,98,1,1,1,0,0
0,3,5,118,13,18,50,244387,98,1,1,1,0,0
28,3,6,179,51,18,38,244387,98,0,1,1,0,8
22,3,6,289,36,13,33,244387,98,0,1,1,0,8
19,3,2,260,50,11,36,244387,98,0,1,1,0,8
28,3,3,246,25,16,41,244387,98,0,1,1,0,2
28,4,4,179,51,18,38,239409,98,0,1,1,0,4
28,4,6,260,50,11,36,239409,98,0,1,1,0,3
26,4,6,330,16,4,28,239409,98,0,2,0,0,4
22,4,2,369,17,12,31,239409,98,0,1,1,0,4
26,4,2,248,25,14,47,239409,98,0,1,0,0,4
23,4,4,330,16,4,28,239409,98,0,2,0,0,8
28,4,4,179,51,18,38,239409,98,0,1,1,0,8
23,4,2,118,13,18,50,239409,98,0,1,1,0,1
13,4,4,118,13,18,50,239409,98,0,1,1,0,120
28,4,6,300,26,13,43,239409,98,0,1,1,1,8
28,4,6,260,50,11,36,239409,98,0,1,1,0,4
28,4,2,179,51,18,38,239409,98,0,1,1,0,4
11,4,4,118,10,10,37,239409,98,0,1,0,0,2
13,5,2,235,20,13,43,246074,99,0,1,1,0,16
23,5,4,248,25,14,47,246074,99,0,1,0,0,2
10,5,2,369,17,12,31,246074,99,0,1,1,0,8
23,5,4,179,26,9,30,246074,99,0,3,0,0,3
28,5,4,179,51,18,38,246074,99,0,1,1,0,4
23,5,5,361,52,3,28,246074,99,0,1,1,0,1
28,5,6,260,50,11,36,246074,99,0,1,1,0,3
11,5,2,179,22,17,40,246074,99,0,2,0,1,2
8,5,2,179,22,17,40,246074,99,0,2,0,1,3
18,5,4,228,14,16,58,246074,99,0,1,0,0,8
25,5,4,225,26,9,28,246074,99,0,1,0,0,3
13,5,6,330,16,4,28,246074,99,0,2,0,0,8
25,5,2,179,26,9,30,246074,99,0,3,0,0,2
28,5,2,118,10,10,37,246074,99,0,1,0,0,1
1,5,2,235,11,14,37,246074,99,0,3,0,0,8
23,5,4,179,26,9,30,246074,99,0,3,0,0,3
23,6,2,118,10,10,37,253957,95,0,1,0,0,3
28,6,2,179,51,18,38,253957,95,0,1,1,0,3
28,6,3,118,10,10,37,253957,95,0,1,0,0,2
23,6,5,225,26,9,28,253957,95,0,1,0,0,4
28,6,6,260,50,11,36,253957,95,0,1,1,0,4
0,6,6,179,51,18,38,253957,95,1,1,1,0,0
13,6,2,291,31,12,40,253957,95,0,1,1,0,40
28,6,2,179,51,18,38,253957,95,0,1,1,0,24
28,6,3,246,25,16,41,253957,95,0,1,1,0,3
28,6,2,179,51,18,38,253957,95,0,1,1,0,4
26,6,3,235,20,13,43,253957,95,0,1,1,0,8
28,6,2,179,51,18,38,253957,95,0,1,1,0,2
23,6,4,225,26,9,28,253957,95,0,1,0,0,2
23,6,4,118,13,18,50,253957,95,0,1,1,0,2
5,6,4,179,51,18,38,253957,95,0,1,1,0,8
21,6,4,179,26,9,30,253957,95,0,3,0,0,2
28,6,6,246,25,16,41,253957,95,0,1,1,0,2
11,6,3,330,16,4,28,253957,95,0,2,0,0,1
13,6,3,235,11,14,37,253957,95,0,3,0,0,8
23,7,5,179,26,9,30,230290,92,0,3,0,0,2
25,7,5,225,26,9,28,230290,92,0,1,0,0,4
13,7,6,260,50,11,36,230290,92,0,1,1,0,8
7,7,2,268,11,8,33,230290,92,0,2,0,0,8
25,7,6,330,16,4,28,230290,92,0,2,0,0,8
26,7,6,118,10,10,37,230290,92,0,1,0,0,8
26,7,2,260,50,11,36,230290,92,0,1,1,0,4
28,7,3,118,10,10,37,230290,92,0,1,0,0,8
15,7,2,300,26,13,43,230290,92,0,1,1,1,8
23,7,2,235,29,12,48,230290,92,0,1,0,1,1
28,7,3,246,25,16,41,230290,92,0,1,1,0,2
9,7,3,225,26,9,28,230290,92,0,1,0,0,112
28,7,3,179,51,18,38,230290,92,0,1,1,0,1
23,7,6,118,13,18,50,230290,92,0,1,1,0,1
22,7,6,361,52,3,28,230290,92,0,1,1,0,8
22,7,2,289,36,13,33,230290,92,0,1,1,0,8
26,7,2,235,20,13,43,230290,92,0,1,1,0,8
28,7,3,246,25,16,41,230290,92,0,1,1,0,2
28,7,5,291,31,12,40,230290,92,0,1,1,0,1
23,7,5,279,5,14,39,230290,92,0,1,1,1,2
25,8,5,179,51,18,38,249797,93,0,1,1,0,4
25,8,2,179,22,17,40,249797,93,0,2,0,1,1
28,8,3,246,25,16,41,249797,93,0,1,1,0,4
28,8,3,118,10,10,37,249797,93,0,1,0,0,4
26,8,3,289,36,13,33,249797,93,0,1,1,0,8
26,8,3,235,20,13,43,249797,93,0,1,1,0,8
28,8,5,291,31,12,40,249797,93,0,1,1,0,4
25,8,2,179,51,18,38,249797,93,0,1,1,0,4
25,8,3,179,22,17,40,249797,93,0,2,0,1,8
23,8,5,330,16,4,28,249797,93,0,2,0,0,16
23,8,3,235,11,14,37,249797,93,0,3,0,0,4
28,8,3,246,25,16,41,249797,93,0,1,1,0,1
28,8,3,118,10,10,37,249797,93,0,1,0,0,5
28,8,5,291,31,12,40,249797,93,0,1,1,0,2
28,8,2,260,50,11,36,249797,93,0,1,1,0,3
28,9,3,246,25,16,41,261756,87,0,1,1,0,1
28,9,3,246,25,16,41,261756,87,0,1,1,0,1
28,9,3,118,10,10,37,261756,87,0,1,0,0,3
23,9,3,155,12,14,34,261756,87,0,1,1,0,2
28,9,5,291,31,12,40,261756,87,0,1,1,0,2
23,9,6,179,26,9,30,261756,87,0,3,0,0,8
23,9,6,248,25,14,47,261756,87,0,1,0,0,1
23,9,2,179,51,18,38,261756,87,0,1,1,0,4
23,9,4,225,26,9,28,261756,87,0,1,0,0,1
22,9,3,361,52,3,28,261756,87,0,1,1,0,8
4,10,5,289,48,29,49,284853,91,0,1,0,0,1
11,10,5,235,16,8,32,284853,91,0,3,0,0,3
28,10,4,291,31,12,40,284853,91,0,1,1,0,2
23,10,3,118,10,10,37,284853,91,0,1,0,0,2
23,10,5,289,48,29,49,284853,91,0,1,0,0,2
23,10,6,291,31,12,40,284853,91,0,1,1,0,1
23,10,3,225,26,9,28,284853,91,0,1,0,0,2
23,10,3,369,17,12,31,284853,91,0,1,1,0,8
26,10,3,369,17,12,31,284853,91,0,1,1,0,8
28,10,4,179,51,18,38,284853,91,0,1,1,0,3
1,10,4,228,14,16,58,284853,91,0,1,0,0,1
23,10,4,291,31,12,40,284853,91,0,1,1,0,1
10,10,5,369,17,12,31,284853,91,0,1,1,0,8
13,10,5,225,26,9,28,284853,91,0,1,0,0,1
10,10,6,369,17,12,31,284853,91,0,1,1,0,8
10,10,6,225,26,9,28,284853,91,0,1,0,0,3
23,10,2,189,29,13,33,284853,91,0,1,0,0,8
6,10,2,235,16,8,32,284853,91,0,3,0,0,8
10,10,2,248,25,14,47,284853,91,0,1,0,0,8
0,10,2,225,26,9,28,284853,91,1,1,0,0,0
13,10,3,225,26,9,28,284853,91,0,1,0,0,3
21,11,3,179,51,18,38,268519,93,0,1,1,0,1
28,11,4,118,10,10,37,268519,93,0,1,0,0,3
2,11,4,330,16,4,28,268519,93,0,2,0,0,24
28,11,6,179,51,18,38,268519,93,0,1,1,0,1
9,11,3,118,10,10,37,268519,93,0,1,0,0,8
24,11,4,289,36,13,33,268519,93,0,1,1,0,8
1,11,6,235,16,8,32,268519,93,0,3,0,0,8
23,11,6,225,26,9,28,268519,93,0,1,0,0,4
22,11,3,361,52,3,28,268519,93,0,1,1,0,8
28,11,4,291,31,12,40,268519,93,0,1,1,0,2
13,11,5,118,10,10,37,268519,93,0,1,0,0,2
14,11,5,225,26,9,28,268519,93,0,1,0,0,3
28,11,2,179,51,18,38,268519,93,0,1,1,0,1
23,11,2,118,10,10,37,268519,93,0,1,0,0,8
8,11,3,118,10,10,37,268519,93,0,1,0,0,8
